freq (Hz),model-lower,model-upper
26.10157,-126.274,-124.687
17.7828,-126.267,-124.684
12.11528,-126.259,-124.679
8.254042,-126.248,-124.674
5.623413,-126.235,-124.667
3.831187,-126.218,-124.708
2.610157,-126.197,-124.647
1.778279,-126.074,-124.585
1.211528,-126.138,-124.566
0.825404,-126.001,-124.545
0.562341,-125.952,-124.466
0.383119,-125.703,-124.333
0.261016,-125.629,-124.184
0.177828,-125.538,-124.066
0.121153,-125.462,-123.741
0.08254,-125.361,-123.384
0.056234,-124.958,-123.074
0.038312,-124.626,-122.229
0.026102,-124.197,-121.656
0.017783,-123.765,-120.618
0.012115,-123.077,-119.677
0.008254,-122.307,-118.408
0.005623,-121.5,-116.681
0.003831,-120.5,-114.658
0.00261,-119.5,-112.118
0.001778,-118.5,-109.971
0.001212,-117.5,-107.748
0.000825,-116.5,-104.94
0.000562,-115.5,-102.727
0.000383,-114.5,-100.159
0.000261,-113.5,-97.5148
0.000178,-112.5,-95.1218
0.000121,-111.501,-93.0032
8.25E-05,-110.499,-90.4867
5.62E-05,-109.498,-88.1057
3.83E-05,-108.499,-85.5564
2.61E-05,-107.5,-82.705
1.78E-05,-106.503,-79.5612